Scenario,VolTimb,LogInt,VolTimbPlant,FuelNatFor,RIL,ConnectPast
AsUsual,80000,20,0,FALSE,FALSE,TRUE
TimberFuel,80000,20,0,TRUE,FALSE,TRUE
IncreaseHarvest,200000,30,0,TRUE,TRUE,TRUE
PlantIncrease,200000,20,120000,TRUE,FALSE,TRUE
PlantSubst,80000,20,80000,TRUE,FALSE,TRUE
PlantOnly,80000,0,80000,FALSE,FALSE,TRUE
Stop,0,0,0,FALSE,FALSE,TRUE
AsUsualRIL,80000,20,0,FALSE,TRUE,TRUE
Pub1p_current,NA,20,NA,FALSE,FALSE,FALSE
Pub1p_Fuel,NA,20,NA,TRUE,FALSE,FALSE
Pub1p_RIL,NA,20,NA,FALSE,TRUE,FALSE
Pub1p_Intens,NA,30,NA,FALSE,FALSE,FALSE
Pub1p_RILIntens,NA,30,NA,FALSE,TRUE,FALSE
Pub_IncreaseFuel,200000,20,0,TRUE,FALSE,TRUE
Pub_AllPlant,200000,20,200000,TRUE,FALSE,TRUE
